Description,PublishedAt,Category
Kaia Personal Trainer only needs your phone's camera to track your workout and offer real-time feedback.,2019-03-21T09:00:56Z,general
"Bill & Ted 3: Face the Music, the long-awaited sequel to 1991’s Bill & Ted’s Bogus Journey, is entering production this summer and is due to be released in August next year. Details about the third entry in the comedy time-travelling series were announced on …",2019-03-21T08:47:00Z,general
"The kids, ranging in age from three to 15, told officers they were starved, pepper sprayed and locked in a closet for days.",2019-03-21T06:45:00Z,general
The announcement on Thursday from New Zealand’s prime minister came less than a week after a massacre at two mosques in Christchurch.,2019-03-21T06:30:35Z,general
"Donald Trump, the President who refused to release his tax returns, just made an unexpected gesture towards transparency, saying he'd be happy for Americans to see Robert Mueller's final report.",2019-03-21T06:12:00Z,general
"With the conclusion of Wednesday night's First Four games, the full field of 64 teams is set for the 2019 NCAA men's basketball tournament...",2019-03-21T06:02:15Z,general
"A new study uncovers a correlation between hot tea and cancer, but you probably don't have to worry if you drink your tea at a reasonable temperature.",2019-03-21T10:43:38Z,health
"When Dr. Todd Wolynn published a YouTube video on his Kids Plus Pediatrics Facebook page touting the HPV vaccine as a cancer prevention tool, he had no idea he was opening the floodgates to a world of anti-vaccine internet warriors. Wolynn, a pediatrician and…",2019-03-21T10:11:56Z,health
A second person appears to have been cured of infection with the virus that causes AIDS. We spoke to an activist about what this means.,2019-03-21T10:01:48Z,health
The LHCb experiment has measured charge-parity violation in the neutral D-meson for the first time,2019-03-21T09:26:50Z,health
"Cats and dogs may be carnivores, but that hasn't stopped a surprising number of pet owners from wistfully wishing they could switch their furry friends to a plant-based diet - or even already doing so.",2019-03-21T06:44:21Z,health
"A Colombian woman has given birth to a baby whose abdomen contained the tiny, half-formed  but still growing  body of her own twin sister.",2019-03-21T04:20:00Z,health
"New CDC report shows epidemic cuts across racial, ethnic lines.",2019-03-21T04:01:05Z,health
Los Angeles International Airport travelers are being warned of possible measles exposure again after a second confirmed case traveled through the airport.,2019-03-21T03:22:33Z,health
"Public health experts said that the governor seemed misinformed, saying his comments seemed to echo the “anti-vax” movement.",2019-03-21T03:00:00Z,health
The case is related to an infected traveler who was staying in Guadalupe County but visited health-care facilities in Bexar County.,2019-03-21T02:24:00Z,health
South Dakota's state veterinarian says chronic wasting disease has been confirmed in a captive elk in Clark County.,2019-03-21T00:24:00Z,health
"Anaesthetics do not only dull physical pain, but may help to reduce mental anguish too, research suggests. The finding emerged in a study by researchers investigating the use of anaesthetics in...",2019-03-21T00:01:00Z,health
"Four children have died from the flu in Utah since October — nearly double the average annual number of pediatric flu deaths for the past decade, health officials confirmed Wednesday.",2019-03-20T23:37:30Z,health
"For some of the many mothers who experience postpartum depression, therapy and standard antidepressants can alleviate symptoms. But for others, those treatments are slow to provide relief. Now the FDA has approved the first drug specifically intended to treat…",2019-03-20T22:45:05Z,health
Jerome Kunkel said he refused to get the vaccine based on religious beliefs,2019-03-20T22:45:00Z,health
The six-person crew won't leave a Moscow facility.,2019-03-20T22:14:00Z,health
"Two common ADHD medications, Adderall and Vyvanse, used in teens and young adults may be more likely to cause psychosis, according to a new study.",2019-03-20T21:58:00Z,health
"The past 5 days have seen 44 Ebola cases, including 12 today, though officials have noted fewer cases in children.",2019-03-20T21:56:30Z,health
We'll eat anything in the name of brain health.,2019-03-20T20:57:13Z,health
The Waterford-East Lyme Animal Control released a public service announcement after a domestic dog tested positive for rabies.,2019-03-20T20:24:00Z,health
It is the last supermoon to occur this year.,2019-03-21T11:00:25Z,science
"An international research team investigated the role of “big gods” in the rise of complex large-scale societies. Big gods are defined as moralizing deities who punish ethical transgressions. Contrary to prevailing theories, the team found that beliefs in big …",2019-03-21T10:05:38Z,science
March’s “super worm equinox moon” is the first in nearly 20 years to fall near the spring equinox.,2019-03-21T08:15:00Z,science
"Of all the different dark matter detectors in the world, only one has consistently come up with a positive signal. The results of DAMA experiment in Italy are hotly debated - and now two experiments seeking to verify it using the same materials have",2019-03-21T05:48:35Z,science
A pair of wingsuit flyers sponsored by Red Bull lit up the skies over Los Angeles at twilight Wednesday.,2019-03-21T03:33:45Z,science
"Big Hero 6, eat your heart out.",2019-03-21T03:31:02Z,science
"HOUSTON — In recent months, NASA has explored the smallest object ever orbited and the most distant body ever encountered — and found that both worlds are weirder than anyone could have imagined. The 800-foot-wide asteroid Bennu, which is being studied by the…",2019-03-21T01:12:24Z,science
"A group of Flat Earthers are prepared to set sail on a bizarre journey to the Antarctic to prove, once and for all, that we’re living a lie. The group, spear-headed by the intellectuals ...",2019-03-21T00:59:06Z,science
"If you find yourself constantly tweaking your home’s thermostat in search of the perfect temperature, you might save some time by just moving to eastern Africa. That might sound drastic, but …",2019-03-21T00:08:00Z,science
"BBC Future is given an exclusive tour of the restoration of Apollo mission control, as Nasa hurries to complete it before the 50th anniversary of the Moon landings.",2019-03-20T23:44:30Z,science
"If you could hitch a ride, it would take you from San Francisco to Seattle in one second.",2019-03-20T23:22:30Z,science
SCIENTISTS claim to have proven there is more than one reality thanks to a groundbreaking new study.,2019-03-20T21:29:00Z,science
"Boeing Co has delayed by at least three months its first uncrewed flight to the International Space Station under NASA's human spaceflight program, and pushed its crewed flight until November, industry sources said on Wednesday.",2019-03-20T21:28:00Z,science
"At the center of our galaxy, where an enormous black hole blasts out energy as it chows down on interstellar detritus while neighboring stars burst to life and explode. astronomers have discovered two exhaust channels -- dubbed the 'galactic center chimneys' …",2019-03-20T20:57:11Z,science
Just recently it has be discovered why Northern Lights are more common and visible around the equinoxes.,2019-03-20T20:54:00Z,science
"Scientists have discovered the first fossil bird ever found with an egg preserved inside its body, a new study reports.",2019-03-20T20:51:45Z,science
Satellites captured a fireball exploding over the wilds of eastern Russia last December — it became the second most powerful meteor blast this century.,2019-03-20T20:13:00Z,science
"What started as Elon Musk's vision to create a science experiment on Mars has turned into a powerhouse in the aerospace industry, shipping private satellites, NASA missions and military cargo. SpaceX has some of the most powerful rockets and many of them can …",2019-03-20T20:01:19Z,science
An institute aimed at tracking down extraterrestrial life managed to successfully map a cave using a Nasa-backed drone with Lidar technology — and said the mission could be reproduced on Mars…,2019-03-20T19:02:00Z,science
"These are our predictions for the Midwest Region, from the favorites to the upsets. UNC is the No. 1 seed.",2019-03-21T12:31:49Z,sports
President Donald Trump told aides that he wants Patriots owner Robert Kraft to come with the team on the celebratory...,2019-03-21T11:38:00Z,sports
"""It was a heck of a basketball game,"" coach Brad Stevens said.",2019-03-21T11:11:23Z,sports
Zavier Simpson and Charles Matthews had a simple message for Michigan basketball this week: Do your job or leave.,2019-03-21T11:01:00Z,sports
Ohio State coach Ryan Day called plays for Big Ten record-setting quarterback Dwayne Haskins.,2019-03-21T10:52:00Z,sports
"Iconic Japanese superstar Ichiro Suzuki, who has more hits in professional baseball than any other Japanese player, has told the Seattle Mariners he intends to retire, an informed source says.",2019-03-21T10:12:29Z,sports
Flyers to play in 2019 NHL Global Series in Switzerland & Czech Republic,2019-03-21T08:59:25Z,sports
"With the conclusion of Wednesday night's First Four games, the full field of 64 teams is set for the 2019 NCAA men's basketball tournament...",2019-03-21T06:02:15Z,sports
Five takeaways from the Miami Heat’s 110-105 win over the San Antonio Spurs on Wednesday at AT&T Center. It marked the Heat’s third consecutive win.,2019-03-21T05:51:00Z,sports
"BOX SCORE The Oklahoma City Thunder (42-30) lost their fourth straight game on Wednesday night in Oklahoma City, falling to the Toronto Raptors (51-21) by a final score of 123-114. The Thunder were trailing by double-digits for most of the second half, but so…",2019-03-21T05:07:52Z,sports
"Three thoughts on <a href=""https://www.sltrib.com/sports/2019/03/20/live-jazz-take-knicks"" target=_blank>the Utah Jazz’s 137-116 win over the New York Knicks</a> from Salt Lake Tribune beat writer Andy Larsen.",2019-03-21T04:36:08Z,sports
"PORTLAND, Ore. - Fresh off a historic night in which Dirk Nowitzki became the No. 6 scorer in the NBA history, the Mavericks arrived in Portland...",2019-03-21T04:25:00Z,sports
"At the PressRoom Pub in Syracuse, fans were concerned after hearing Frank Howard had been suspended. Orange fans are wondering whether this will affect the Syracuse University Men's Basketball team in Thursday night&rsquo;s game against Baylor. ""I was not fee…",2019-03-21T04:05:10Z,sports
"As the Minnesota Vikings continue to explore possible veteran options to back up Kirk Cousins, a current member of the roster says he’s the man for the job. According to Chris Tomasson of the St. Paul Pioneer Press, Kyle Sloter, who has spent the last two sea…",2019-03-21T03:46:00Z,sports
"In a win or get fired situation, Tim Miles rallied his troops and the Husker faithful to a win in round one of the NIT.",2019-03-21T03:27:01Z,sports
"Mike Trout and the Angels announced their 12-year contract, a record deal that keeps baseball's top player with Los Angeles for what likely will be the rest of his career.",2019-03-21T03:26:37Z,sports
UTEP assistant Lamont Smith resigned on Wednesday after he was implicated in the massive college admissions scandal.,2019-03-21T03:23:00Z,sports
"Even at the end of overtime when a Norfolk State turnover gave the Alabama basketball team an unexpected and undeserved chance to stay alive, things fell apart, almost as if some higher basketball power had decided that enough of the 2019 season was enough, a…",2019-03-21T03:14:00Z,sports
"When Carter Hutton skated to the bench after the first period Tuesday night, six of his Buffalo Sabres teammates were waiting to thank hi...",2019-03-21T03:12:29Z,sports
"The Oakland Raiders have signed unrestricted free agent CB Nevin Lawson, the team announced Wednesday.",2019-03-21T02:38:42Z,sports
"That's enough to beat Verizon's 5G rollout, which is scheduled to begin on Apr. 11.",2019-03-21T12:16:18Z,technology
Down almost 4%,2019-03-21T12:15:00Z,technology
"Apple was upgraded to strong buy from buy at Needham on Thursday, as the firm primarily sees Apple's ecosystem as having ""value upside.""",2019-03-21T11:31:26Z,technology
Sometimes smaller is better,2019-03-21T11:00:00Z,technology
Microsoft is delivering a public preview of its Azure-powered Windows Virtual Desktop service today.,2019-03-21T10:35:15Z,technology
Apple’s slow reveal of refreshed hardware continued yesterday with the new AirPods many people have been waiting for.,2019-03-21T10:30:47Z,technology
"Look for a router that supports the newest security standard called WPA3. If you have an older router, select one with WPA2. Always avoid WEP.",2019-03-21T10:00:00Z,technology
"Huawei is less than a week away from its next big flagship smartphone launch, so of course the torrent of leaks surrounding the upcoming P30 and P30 Pro has been full and comprehensive. The latest disclosures from mysmartprice add corroboration to some specs …",2019-03-21T09:18:39Z,technology
Kaia Personal Trainer only needs your phone's camera to track your workout and offer real-time feedback.,2019-03-21T09:00:56Z,technology
"After nearly a three-year wait, Apple has finally announced a new version of its popular true wireless headphones, the AirPods. We had high hopes for improved listening time, new color options, and the addition of waterproofing. Instead, all Apple gave listen…",2019-03-21T08:00:37Z,technology
Apple iPhone cases and Watch bands for spring are a pastel extravaganza.,2019-03-21T07:31:33Z,technology
"From what little we can see, the Valkyrie should be a game changer for Aston Martin.",2019-03-21T04:43:31Z,technology
"God of War has won another big award, taking game of the year honors at this year's Game Developers Conference 2019 honors.",2019-03-21T04:43:00Z,technology
Here’s our first look at an Intel graphics card,2019-03-21T03:30:00Z,technology
"We hug walls, grapple onto buildings, and even try to pet a giant as we look at FromSoftware's latest release running on the PlayStation 4. Sekiro: Shadows D...",2019-03-21T01:10:43Z,technology
"Google has outlined its vision for the future of video games with its own streaming service, and showed off the controller you'll be using to play it.",2019-03-21T00:18:00Z,technology
"If real, the Motorola One Vision is the company's first phone with a Samsung processor.",2019-03-21T00:00:08Z,technology
Here's what you can get for your characters and guns if you drop $10 on Apex Legends' first battle pass.,2019-03-20T22:57:00Z,technology
"Epic's approach to taking on Steam has been a controversial one, but that hasn't stopped the company so far.",2019-03-20T22:41:00Z,technology
"This week we talk about the launch of the first Android Q beta, some exclusive Pixel 3a and 3a XL details that we got our hands on, and Google’s Stadia game streaming service. Alphabet Scoop …",2019-03-20T21:16:25Z,technology
Check your freezer for this chicken strips product that could contain metal pieces.,2019-03-22T12:13:00Z,business
"Mark Zuckerberg, the co-founder and chief executive of Facebook Inc., seems increasingly alone at the top of his company with the departure of two key...",2019-03-22T11:56:21Z,business
Retailers and analysts say that it’s not just price that has driven disappointing iPhone sales in China: consumers are also switching to Chinese smartphone brands because they feel some featu…,2019-03-22T11:51:39Z,business
Stocks - U.S. Futures Slump on Weak European Data,2019-03-22T11:28:36Z,business
"U.S. economic growth would be much stronger had the Federal Reserve stopped raising rates sooner, President Donald Trump said in an interview that aired Friday.",2019-03-22T11:13:17Z,business
"The Australian financial giant Macquarie Group more than doubled its investment in Qualcomm, but sold shares of chip companies Intel, AMD, Nvidia, and Micron.",2019-03-22T11:00:58Z,business
"Steve Eisman, the hedge fund manager famous for betting against the US housing market in 2008, is sounding the alarm on the Canadian market.",2019-03-22T10:36:15Z,business
"While population growth is slowing at an alarming rate nationwide, some cities are bucking the trend, reporting booming growth in recent years.",2019-03-22T10:04:13Z,business
Euro Zone Set for Stagnation As Weak PMIs Rattle Markets,2019-03-22T10:01:00Z,business
Mortgage rates are at 4.5 percent and aren't forecast to rise much for this year. Here’s what this means for this year’s housing market.,2019-03-22T10:01:00Z,business
There’s been a whole lot of turnover in executive suites at auto makers in recent years. The latest new face: incoming Ford chief financial officer Tim Stone.,2019-03-22T09:48:39Z,business
The maker of Miller Lite and Coors Light doesn't see the funny side of Bud Light's corn syrup Super Bowl ads.,2019-03-22T09:45:00Z,business
Many join. Few move on (voluntarily).,2019-03-22T09:30:00Z,business
"As many as 750,000 Medtronic implantable defibrillators are vulnerable to cyberattacks.",2019-03-22T08:53:17Z,business
"The rise of global technology superstars like Amazon, Apple, Facebook and Google created new challenges for the competition watchdogs who enforce antitrust laws around the world. The companies dominate markets in e-books and smartphones, search advertising an…",2019-03-22T07:55:36Z,business
"U.S. stock index futures were lower Friday morning, amid jitters sparked by the Federal Reserve's cautious outlook for the world's largest economy.",2019-03-22T07:31:41Z,business
"When Japan Display Inc broke ground on a new factory in central Japan in 2015, the future looked bright for one of the world's top vendors of liquid crystal display (LCD) panels.",2019-03-22T06:17:06Z,business
"The U.S. Federal Reserve on Wednesday kept interest rates steady and slashed all projections of a rate hike this year. Still, S&P Global Ratings said the Fed is ""not yet done"" with rate hikes, predicting another will come this year or early next year.",2019-03-22T02:58:20Z,business
"Kale, that popular green of the health conscious, has joined the ignoble list of 12 fruits and vegetables with the most pesticide residues, according to the Environmental Working Group. The last time kale was on the list was in 2009 when it was ranked eighth.…",2019-03-22T02:45:12Z,business
"As Washington waits for word -- that could come as soon as Friday -- about the status of special counsel Robert Mueller's report into Russian interference in the 2016 election, President Donald Trump is closing his PR campaign against the investigation on a n…",2019-03-22T12:14:36Z,general
"European Union leaders gave the country two different deadlines, depending on whether U.K. lawmakers can agree on a path forward. One deadline is in two months; the other in two weeks.",2019-03-22T11:15:00Z,general
The president said that “we could dream about” running against former Texas Rep. Beto O’Rourke.,2019-03-22T11:11:00Z,general
It's all about the services.,2019-03-22T11:00:00Z,general
The Spartans didn't make any substitutions during an 11-minute stretch during the second half,2019-03-22T10:40:00Z,general
Two Boeing 737 MAX 8 crashes in less than five months have prompted questions from aviation experts about the training of pilots for foreign airlines.,2019-03-22T10:27:13Z,general
Euro Zone Set for Stagnation As Weak PMIs Rattle Markets,2019-03-22T10:01:00Z,general
Charging towards a release?,2019-03-22T09:54:00Z,general
It says Trump's stand shows 'blind bias of the US' towards Israel and vows to recognise sovereignty over Golan Heights.,2019-03-22T09:42:00Z,general
"The death toll from a huge blast at a chemical plant in China jumps to 47, state media report.",2019-03-22T07:58:56Z,general
"The rise of global technology superstars like Amazon, Apple, Facebook and Google created new challenges for the competition watchdogs who enforce antitrust laws around the world. The companies dominate markets in e-books and smartphones, search advertising an…",2019-03-22T07:55:36Z,general
"Two U.S. service members were killed during an operation in Afghanistan on Friday, according to a NATO-led resolute support mission statement.",2019-03-22T05:41:31Z,general
"Florida defeated Nevada 70-61 in a Round 1 game in Des Moines, Iowa, Thursday night.",2019-03-22T04:21:00Z,general
Kylie Jenner and Travis Scott appear to be on the path to total reconciliation.,2019-03-22T03:56:00Z,general
Boeing 737 Max planes have been grounded by authorities after two recent fatal crashes.,2019-03-22T03:54:56Z,general
Officials are urging people to get vaccinated against the highly contagious disease.,2019-03-22T03:33:16Z,general
"A spectacular discovery in south China is shedding more light on the mysterious lifeforms that crawled our planet half a billion years ago. In a shale bed next to Danshui River, palaentologists have excavated around 30,000 fossils dating back to the",2019-03-22T02:41:05Z,general
The group helped leftwing candidates Alexandria Ocasio-Cortez and Rashida Tlaib win long-shot elections to Congress in 2018,2019-03-22T02:35:00Z,general
"NEW YORK -- Levi's CEO Chip Bergh has some tips for jeans owners: Don't freeze your jeans. And don't put them in the washing machine. Bergh turned heads and noses at a May 2014 event when he announced that he had never washed the pair of 501 Levi's jeans he…",2019-03-22T02:29:00Z,general
The Trump administration on Thursday sanctioned two Chinese shipping companies suspected of helping North Korea evade sanctions,2019-03-22T01:50:59Z,general
"The chickenpox vaccine is safer than a chickenpox party. Chickenpox in adults is more severe. Signs of chickenpox include blisters, rash and fever. Chickenpox deaths are possible, though rare.",2019-03-22T09:51:28Z,health
"Four children have died from the flu in Utah since October — nearly double the average annual number of pediatric flu deaths for the past decade, health officials confirmed Wednesday.",2019-03-22T07:46:56Z,health
"For a while now, scientists have been debating what to do with one of the most famous tools used to describe scientific certainty, the concept of 'statistical significance'. Some think it's fine as is. Others want to make it smaller, while yet others",2019-03-22T05:52:47Z,health
Officials are urging people to get vaccinated against the highly contagious disease.,2019-03-22T03:33:16Z,health
"Kentucky Gov. Matt Bevin said in a radio interview that he deliberately exposed his children to chickenpox so they would catch the highly contagious disease and become immune. During a Tuesday interview on Bowling Green radio station WKCT, Bevin said his chil…",2019-03-22T01:11:12Z,health
A number of Utah civic leaders are reiterating their pledge to support immigration policies that bolster the state's economic future and considers the humanity of those caught in the confusion of the nation's unsettled immigration laws.,2019-03-22T00:17:00Z,health
The birth of a healthy monkey is the first success in a cancer fertility study done by University of Pittsburgh reproductive scientist Kyle Orwig and his team.,2019-03-22T00:01:00Z,health
"Baltimore, a city which has some serious disparities in almost every measure but remains a beautiful black city nonetheless, saw six infants die in their sleep in as many weeks, the worst rate of such deaths since a 2009 campaign to prevent these kinds of tra…",2019-03-22T00:00:00Z,health
The Keto Diet has been around for centuries but recently has gained popularity again. There are some common mistakes you want to avoid if you plan to follow a Keto Diet.,2019-03-21T23:48:00Z,health
"Daily cannabis users may be three times more likely to develop a psychotic disorder diagnosis compared to people who have never used the drug, according to new research.",2019-03-21T23:11:00Z,health
"""I come from a good family. I work 40 to 50 hours a week,"" a young man named Jacob said",2019-03-21T22:48:00Z,health
"Cases have hit 991, and a baby recently became one of the 614 deaths.",2019-03-21T22:18:45Z,health
New CDC data shows which groups have been hardest hit by the epidemic,2019-03-21T21:31:00Z,health
"A new study has found a concerning link between cooking oil that has been reused multiple times and late-stage breast cancer. The research, which involved lab mice fed reused cooking oil, found tha…",2019-03-21T21:19:00Z,health
"March is Colon Cancer Awareness Month. If caught early, colon cancer is a preventable and curable disease. However, it remains the second leading cause of cancer deaths in men and women in the United States.",2019-03-21T21:03:33Z,health
"Six types of mushrooms were analyzed in the study, and all were shown to be associated with reduced levels of Mild Cognitive Impairment.",2019-03-21T20:52:00Z,health
Patients in a new Northwestern Medicine study were able to comprehend words that were written but not said aloud. They could write the names of things they saw but not verbalize them.,2019-03-21T20:42:14Z,health
Officials say an off-campus West Chester University student has tested positive for mumps following a visit to Temple University.,2019-03-21T20:40:00Z,health
"Around 80,000 years ago, a small group left Africa and radiated around the globe, taking with them a subset of their ancestors' genetic variation. Now, that subset dominates  genetic and health studies worldwide.",2019-03-21T20:28:31Z,health
A retiree with super-smelling skills has helped researchers identify compounds unique to Parkinson's suffers -- and it could lead to an earlier diagnosis.,2019-03-21T20:05:13Z,health
The company had been targeting April for the launch of its CST-100 Starliner spacecraft.,2019-03-22T11:00:00Z,science
"A team led by Lida Kanari now reports a new system for distinguishing cell types in the brain, an algorithmic classification method that the researchers say will benefit the entire field of neuroscience. Blue Brain founder Professor Henry Markram says, ""For n…",2019-03-22T10:55:08Z,science
Three images of Jupiter are combined to make a striking new image of the planet and its famous spot.,2019-03-22T10:23:06Z,science
The last known member of the only herd to roam between Canada and the Pacific Northwest was captured and relocated earlier this year.,2019-03-22T10:07:30Z,science
"ANTARCTICA scientists dug 6ft deep into the ice below the South Pole and dived into the freezing waters, but what they found made it worth it, a documentary revealed.",2019-03-22T08:30:00Z,science
"After decades of research, an analysis of light has finally identified the age of an ancient star cluster in the Milky Way. It's called HP 1, and it's roughly 12.8 billion years old. That makes it one of the oldest ever found - not just in the galaxy",2019-03-22T06:22:12Z,science
SpaceX is preparing to begin test flights of its Starship spacecraft this week and SpaceX's neighbors have set up a convenient 24-hour Livecam of the launch site so you can follow Starship's progress as it gets ready for liftoff.,2019-03-22T04:03:58Z,science
"Fish and bees have been able to communicate for the first time, courtesy of a few talented robots mimicking and controlling their actions, in an unusual experiment that translated behavioral cues across species lines.",2019-03-22T03:15:00Z,science
"In the last two years, scientists, politicians, and professionals have increasingly been willing to touch the taboo subject of UFOs and perhaps lend a little credence to those who still believe.",2019-03-22T03:00:20Z,science
"A spectacular discovery in south China is shedding more light on the mysterious lifeforms that crawled our planet half a billion years ago. In a shale bed next to Danshui River, palaentologists have excavated around 30,000 fossils dating back to the",2019-03-22T02:41:05Z,science
"Japan’s Hayabusa2 spacecraft has been hanging around the asteroid known as Ryugu for several months now. It first arrived in late 2018 and, in February, fired a projectile into it surface to …",2019-03-22T00:08:00Z,science
"Even before the launch, NASA officials said there was already work identified before the Demo-1 flight that needed to get done before the agency would consider flying astronauts on board.",2019-03-21T22:03:11Z,science
"For some reason, humankind’s lowest common denominators have been allowed to wrangle the rest of the species into relitigating the veracity of empirical facts as if they’re up for debate. Things that science has already confirmed (“Climate change is real.” “Y…",2019-03-21T20:54:00Z,science
"The InSight lander's heat probe is stuck, and scientists aren't sure why.",2019-03-21T20:30:19Z,science
Organoboron compounds offer a direct route for synthesizing nitrogen chains that may be used in explosives and pharmaceuticals,2019-03-21T19:21:36Z,science
"During meiosis, homologous chromosomes undergo doublestrand breaks in DNA that can cross over, shuffling genetic material. However, not every double-strand break resolves in a crossover event. Hinch et al. wanted to determine the rules governing DNA recombina…",2019-03-21T18:00:00Z,science
"Researchers embrace a radical idea: engineering coral to cope with climate change. A colony of Acropora millepora releases bundles of eggs and sperm. Researchers trying to create hardier hybrids have just hours to use the precious materia…",2019-03-21T17:52:03Z,science
"Off the coast of Washington, columns of bubbles rise from the seafloor, as if evidence of a sleeping dragon lying below. But these bubbles are methane that is squeezed out of sediment and rises up through the water. The locations where they emerge provide imp…",2019-03-21T17:35:08Z,science
"The sun sent out a solar flare and a coronal mass ejection, smacking us right in the magnetosphere and making the aurora visible to millions more people than normal.",2019-03-21T17:03:00Z,science
"The 2019 NCAA women's basketball tournament bracket starts Friday, March 22. Get all schedule, TV channels and seeding here.",2019-03-22T12:32:34Z,sports
The Spartans didn't make any substitutions during an 11-minute stretch during the second half,2019-03-22T10:40:00Z,sports
"A figure skater is accused of going after her rival by allegedly kicking her, a story that sounds similar to an incident between two Olympic skaters that riveted the world years ago.",2019-03-22T07:04:49Z,sports
Carter Hart is back to rewriting the past as he matched another NHL rookie accolade by delivering a 40-save performance in Thursday night's 3-1 win over the Blackhawks. By John Boruk,2019-03-22T05:51:15Z,sports
Ugly wins don’t exist in the NCAA Tournament.,2019-03-22T05:51:00Z,sports
"After a slow start, the Warriors turned on the jets and ran past the Pacers on Thursday night in Oakland.",2019-03-22T04:54:54Z,sports
